Rating	ID	Title	Title Slug	Contest Slug	Problem Index
2124.0317207867	1654	Minimum Jumps to Reach Home	minimum-jumps-to-reach-home	biweekly-contest-39	Q3
2123.5708982185	1970	Last Day Where You Can Still Cross	last-day-where-you-can-still-cross	weekly-contest-254	Q4
2121.3147151648	972	Equal Rational Numbers	equal-rational-numbers	weekly-contest-118	Q4
2118.7923652824	1601	Maximum Number of Achievable Transfer Requests	maximum-number-of-achievable-transfer-requests	weekly-contest-208	Q4
2116.4935282950	1547	Minimum Cost to Cut a Stick	minimum-cost-to-cut-a-stick	weekly-contest-201	Q4
2115.0911494487	1483	Kth Ancestor of a Tree Node	kth-ancestor-of-a-tree-node	weekly-contest-193	Q4
2109.9830154953	1172	Dinner Plate Stacks	dinner-plate-stacks	weekly-contest-151	Q4
2105.8582288624	2209	Minimum White Tiles After Covering With Carpets	minimum-white-tiles-after-covering-with-carpets	biweekly-contest-74	Q4
2105.7761215397	1937	Maximum Number of Points with Cost	maximum-number-of-points-with-cost	weekly-contest-250	Q3
2104.9526046945	1944	Number of Visible People in a Queue	number-of-visible-people-in-a-queue	biweekly-contest-57	Q4
2104.7441214305	2088	Count Fertile Pyramids in a Land	count-fertile-pyramids-in-a-land	biweekly-contest-66	Q4
2100.3248877105	793	Preimage Size of Factorial Zeroes Function	preimage-size-of-factorial-zeroes-function	weekly-contest-74	Q4
2096.6201393558	778	Swim in Rising Water	swim-in-rising-water	weekly-contest-70	Q4
2096.6098086765	899	Orderly Queue	orderly-queue	weekly-contest-100	Q4
2094.5924265370	1976	Number of Ways to Arrive at Destination	number-of-ways-to-arrive-at-destination	biweekly-contest-59	Q3
2092.4861692502	1049	Last Stone Weight II	last-stone-weight-ii	weekly-contest-137	Q4
2091.3820373571	1383	Maximum Performance of a Team	maximum-performance-of-a-team	weekly-contest-180	Q4
2090.6800569319	2193	Minimum Number of Moves to Make Palindrome	minimum-number-of-moves-to-make-palindrome	biweekly-contest-73	Q4
2087.2049275667	1563	Stone Game V	stone-game-v	weekly-contest-203	Q4
2084.9697035674	982	Triples with Bitwise AND Equal To Zero	triples-with-bitwise-and-equal-to-zero	weekly-contest-121	Q4
2084.6866916045	1192	Critical Connections in a Network	critical-connections-in-a-network	weekly-contest-154	Q4
2084.4980206639	2009	Minimum Number of Operations to Make Array Continuous	minimum-number-of-operations-to-make-array-continuous	biweekly-contest-61	Q4
2084.2010769193	774	Minimize Max Distance to Gas Station	minimize-max-distance-to-gas-station	weekly-contest-69	Q4
2084.1404698713	2050	Parallel Courses III	parallel-courses-iii	weekly-contest-264	Q4
2081.8087755451	1494	Parallel Courses II	parallel-courses-ii	biweekly-contest-29	Q4
2081.7518764643	1847	Closest Room	closest-room	biweekly-contest-51	Q4
2081.6909344021	1639	Number of Ways to Form a Target String Given a Dictionary	number-of-ways-to-form-a-target-string-given-a-dictionary	biweekly-contest-38	Q4
2080.0425875741	1718	Construct the Lexicographically Largest Valid Sequence	construct-the-lexicographically-largest-valid-sequence	biweekly-contest-43	Q3
2079.9846866239	1643	Kth Smallest Instructions	kth-smallest-instructions	weekly-contest-213	Q4
2079.1911227043	975	Odd Even Jump	odd-even-jump	weekly-contest-119	Q4
2078.6986769435	1712	Ways to Split Array Into Three Subarrays	ways-to-split-array-into-three-subarrays	weekly-contest-222	Q3
2078.5417326415	1786	Number of Restricted Paths From First to Last Node	number-of-restricted-paths-from-first-to-last-node	weekly-contest-231	Q3
2077.5054883516	843	Guess the Word	guess-the-word	weekly-contest-86	Q4
2076.8975497986	1088	Confusing Number II	confusing-number-ii	biweekly-contest-2	Q4
2074.4120526679	871	Minimum Number of Refueling Stops	minimum-number-of-refueling-stops	weekly-contest-93	Q4
2073.0124645606	1850	Minimum Adjacent Swaps to Reach the Kth Smallest Number	minimum-adjacent-swaps-to-reach-the-kth-smallest-number	weekly-contest-239	Q3
2072.7264178313	1799	Maximize Score After N Operations	maximize-score-after-n-operations	biweekly-contest-48	Q4
2070.2102619334	1808	Maximize Number of Nice Divisors	maximize-number-of-nice-divisors	weekly-contest-234	Q4
